window,start_ns,stop_ns,mean_mV,vpp_mV,robust_vpp_mV,periodic_vpp_mV,coherence,source_setting_mV,current_uA,candidate,dt_ns
0,50.0,100.0,210.4983701059326,360.346486870445,310.84223927817493,250.76020243768534,0.6833660340334256,300.0,228.15229898524512,reference,0.025
1,100.0,150.0,251.8027297866496,289.0497816845177,271.06761526319724,227.8459191631494,0.7735976585203015,300.0,228.15229898524512,reference,0.025
2,150.0,200.0,225.42431380559768,193.6667516575689,166.13438573213023,148.1931453029418,0.876910317412332,300.0,228.15229898524512,reference,0.025
3,200.0,250.0,227.24605500563416,247.79703459468845,240.49898792715663,230.95956400889315,0.8347644648071941,300.0,228.15229898524512,reference,0.025
0,50.0,100.0,242.8013888594018,351.32798591334364,337.5136288148374,189.30418868868713,0.7361715801749538,350.0,266.70376233691485,reference,0.025
1,100.0,150.0,204.91784375074008,341.87383461497035,300.02538836340227,246.37736765497348,0.6966725902009352,350.0,266.70376233691485,reference,0.025
2,150.0,200.0,238.65568476718622,325.06589676369424,300.64631847994974,228.6714204431526,0.7355201688419513,350.0,266.70376233691485,reference,0.025
3,200.0,250.0,215.85799891763196,349.42094118297405,319.23193512278635,266.93162094804615,0.7246197227071791,350.0,266.70376233691485,reference,0.025
0,50.0,100.0,219.87094663796375,373.89257755425916,354.85579316598387,282.59899634810796,0.6806133409826793,400.0,303.2005083702369,reference,0.025
1,100.0,150.0,217.98870608968926,374.1106289157908,353.4519311651304,278.6988387268175,0.6347565277388146,400.0,303.2005083702369,reference,0.025
2,150.0,200.0,220.15381618231422,373.37611858795015,358.6348832668843,273.6171316133201,0.6179003000395856,400.0,303.2005083702369,reference,0.025
3,200.0,250.0,219.65156878510615,374.4566307735951,354.8585282361788,263.2607009160915,0.5983712568380213,400.0,303.2005083702369,reference,0.025
0,50.0,100.0,202.33862259064517,382.01496067705733,364.58834349134565,259.28316549670564,0.5668344359596695,450.0,341.5718172250129,reference,0.025
1,100.0,150.0,219.59048715591095,381.5935915190982,368.4237378025383,298.3304966219536,0.6882193313835705,450.0,341.5718172250129,reference,0.025
2,150.0,200.0,199.8377125973031,380.71975217627914,365.4822468450347,257.8784248739573,0.5718551345797482,450.0,341.5718172250129,reference,0.025
3,200.0,250.0,224.96925822046407,381.61842294074523,368.6070386228764,299.0870452156667,0.6949990230614969,450.0,341.5718172250129,reference,0.025
0,50.0,100.0,189.8658446212098,344.41448025519514,317.31469063876807,116.31603964117204,0.1513487340720413,500.0,380.88580812995247,reference,0.025
1,100.0,150.0,182.9434743107556,319.8064540083554,289.00384172347526,237.0083276899222,0.800261273833152,500.0,380.88580812995247,reference,0.025
2,150.0,200.0,172.35681843273377,277.6957242614278,253.99326388539492,184.9638474936608,0.6701074995977825,500.0,380.88580812995247,reference,0.025
3,200.0,250.0,200.74249785474333,315.11921914679345,294.67189432525396,251.051439866469,0.8070675259794146,500.0,380.88580812995247,reference,0.025
0,50.0,100.0,167.68216517928934,294.32750876714795,265.63530904227923,220.48519298991033,0.7617725617176617,550.0,419.0559644140832,reference,0.025
1,100.0,150.0,153.60612177397627,287.8285595499598,277.6541739065612,265.04853164466385,0.7874078439559199,550.0,419.0559644140832,reference,0.025
2,150.0,200.0,150.8940276023366,292.84525053244795,272.5684903761156,244.9724069447519,0.8024175196408772,550.0,419.0559644140832,reference,0.025
3,200.0,250.0,165.3148668147744,289.28898936802415,273.3663116638289,242.0090232584573,0.8163535469986577,550.0,419.0559644140832,reference,0.025
0,50.0,100.0,144.92953432426785,266.0482200920828,260.6386872718008,249.13535159005676,0.8267769797039748,600.0,457.8085803363978,reference,0.025
1,100.0,150.0,146.4239508314763,261.95845706824844,260.1118238089052,248.5196374484549,0.819340474567346,600.0,457.8085803363978,reference,0.025
2,150.0,200.0,148.45129617844378,260.6340338785993,259.23354892956365,243.85742894412687,0.834347446642206,600.0,457.8085803363978,reference,0.025
3,200.0,250.0,147.1298601386023,258.68881238728613,256.2062670847659,238.74828062719865,0.8583106569264701,600.0,457.8085803363978,reference,0.025
0,50.0,100.0,141.12773842930795,227.68555746311424,219.40646647790345,213.8805884862016,0.8473556499272893,650.0,494.4853744265939,reference,0.025
1,100.0,150.0,129.80619759578715,220.4772512847529,215.31427249566926,206.92019581410528,0.8733317640954305,650.0,494.4853744265939,reference,0.025
2,150.0,200.0,140.85695843456907,219.31634839050253,214.87738780715011,204.9009504036158,0.8727866803371784,650.0,494.4853744265939,reference,0.025
3,200.0,250.0,134.5956022271481,219.2024327800488,216.08086539916314,213.1691463999955,0.862169534441974,650.0,494.4853744265939,reference,0.025
